ID;eventID;longitude;latitude;depth;magnitude;rake;dip;strike;rupture_width;rupture_length;midpt_lon;midpt_lat;midpt_depth;scale_law;slip;bottom_roughness;seeds_gm;exposure_model;vulnerability_model_eq;vulnerability_model_ts
7488;167411;-72,16922;-32,00456;8;6,45;-90;45,00009;304,9806;9,113322673;10,24337281;-72,20077038;-31,97912748;4,503325824;WellsCoppersmith;2,126958511;0,020325442;2079583749;;;
7489;167420;-68,47344;-31,83676;9,027225;6,85;90;38,2813;9,999014;19,33864605;18,19813868;-68,45021496;-31,90380187;12,12320501;WellsCoppersmith;2,246082532;0,055981744;3957602952;;;
7490;167438;-68,05131;-33,05198;15;6,05;90;45,00139;0,01957299;3,417594249;10,66489373;-68,07100684;-33,02536259;12,40232321;WellsCoppersmith;1,368364229;0,066200938;3841936523;;;
7491;167453;-72,16357;-34,52266;8;6,25;-90;44,99893;304,9829;8,681078164;17,28133175;-72,1746071;-34,51010275;4,771216665;Stafford;0,6633273;0,010833786;499579540;;;
7492;167531;-70,58294;-32,02744;5;6,15;-90;45,00082;90,03476;7,392905654;12,79096853;-70,55181618;-32,02013982;3,848669739;Stafford;0,745006653;0,014149211;724731508;;;
7493;167551;-71,256;-30,31142;37,4954;6,75;90;16,17626;6,805243;17,40546158;28,42835745;-71,33039076;-30,29047177;35,3292603;Stafford;1,130944864;0,053181167;3509837231;;;
7494;167560;-71,59882;-30,91603;32,2714;6,65;90;14,82029;7,783607;12,86436253;43,28573731;-71,58493552;-30,90870334;32,59191199;WellsCoppersmith;0,711452083;0,006543932;3105051383;;;
7495;167561;-70,25581;-32,65697;5;6,05;-90;44,99925;90,03233;6,916490205;11,57400023;-70,29159424;-32,65107747;4,074343969;Stafford;0,623030765;0,035595766;3417977752;;;
7496;167594;-69,13248;-32,26517;15,04538;6,55;90;37,49471;171,5444;18,04009735;23,8155075;-69,17120708;-32,2342711;11,62751625;Stafford;0,652799823;0,026456924;415822366;;;
7497;167774;-72,34789;-32,81395;8;6,45;-45;75,00036;304,9677;8,751440735;23,44196982;-72,34792553;-32,81383771;7,95167615;Stafford;0,967843386;0,017792829;3809222272;;;
